Iteration	Y	var_1	var_2	var_3	var_4	var_5	var_6	var_7	var_8
1.0	-0.15060000121593475	0.008313778995675218	128.0	64.0	256.0	0.3	0.9955615399479041	0.9006056586661885	256.0
2.0	-0.5807000398635864	0.055672370934190314	128.0	256.0	64.0	0.3	0.9205576519356352	0.9625471689982219	1024.0
3.0	-0.4256000220775604	0.09089383719507194	256.0	64.0	128.0	0.4	0.9144758402486822	0.9633842323642203	1024.0
4.0	-0.9502000212669373	0.0038235803551294957	64.0	64.0	512.0	0.5	0.9491499242499055	0.9756171199279341	128.0
5.0	-0.10090000182390213	0.1	64.0	64.0	512.0	0.1	0.9	0.9	128.0
6.0	-0.9017000198364258	0.04344741844194754	128.0	256.0	64.0	0.3	0.9134359680226657	0.9558887352004454	1024.0
7.0	-0.9010000228881836	0.012543679120686298	64.0	64.0	512.0	0.5	0.9493448688551905	0.974051129610531	128.0
8.0	-0.954200029373169	0.029004831119609206	128.0	256.0	64.0	0.3	0.9050226741880667	0.948022393050454	1024.0
9.0	-0.9595000743865967	0.02439750601167526	128.0	256.0	64.0	0.3	0.9261428746401795	0.9451226095460398	1024.0
10.0	-0.8991000652313232	0.039354038480101675	128.0	256.0	64.0	0.3	0.9150828552378527	0.9259097152163152	1024.0
11.0	-0.968500018119812	0.001	64.0	64.0	512.0	0.5	0.9	0.9999	128.0
12.0	-0.9780000448226929	0.001	128.0	256.0	64.0	0.3	0.9	0.9186049705202972	1024.0
13.0	-0.09910000115633011	0.07297973094025098	128.0	256.0	64.0	0.3	0.9714138204779048	0.9249245297169053	256.0
14.0	-0.9779000282287598	0.001	128.0	256.0	64.0	0.4	0.9	0.9	1024.0
15.0	-0.54830002784729	0.07016920350675605	128.0	64.0	64.0	0.4	0.9023240831864748	0.9331484832451161	256.0
16.0	-0.1064000055193901	0.09716615321497621	512.0	64.0	64.0	0.3	0.9472965143319718	0.9631217229469274	1024.0
17.0	-0.9240000247955322	0.032857906298154556	512.0	64.0	64.0	0.2	0.9637906133514631	0.9672042188970367	128.0
18.0	-0.6267000436782837	0.04635145534436406	512.0	64.0	64.0	0.4	0.9290826874859051	0.9450721204034911	128.0
19.0	-0.8863000273704529	0.001	128.0	256.0	64.0	0.5	0.9999	0.9	1024.0
20.0	-0.09670000523328781	0.1	512.0	64.0	64.0	0.1	0.9999	0.9999	128.0
21.0	-0.9802000522613525	0.001	128.0	256.0	64.0	0.3	0.9068013448759125	0.9407961456146356	1024.0
22.0	-0.9803000688552856	0.001	512.0	64.0	64.0	0.2	0.9298934104436059	0.9316144867243312	128.0
23.0	-0.9749000668525696	0.001	64.0	64.0	512.0	0.4	0.9018656374743006	0.9999	128.0
24.0	-0.10400000214576721	0.001	512.0	64.0	64.0	0.3	0.9893370016049768	0.9085978757119627	128.0
25.0	-0.9779000282287598	0.001	128.0	256.0	64.0	0.4	0.9111621017425557	0.9365747009749564	1024.0
26.0	-0.9752000570297241	0.001	64.0	64.0	512.0	0.4	0.9	0.9409054007828205	128.0
27.0	-0.9757000207901001	0.001	128.0	256.0	64.0	0.5	0.9	0.9204764114638206	1024.0
28.0	-0.9806000590324402	0.001	512.0	64.0	64.0	0.2	0.9	0.9845144711568877	128.0
29.0	-0.397100031375885	0.08571034356680873	128.0	64.0	64.0	0.2	0.9989157640292221	0.9836670167880784	512.0
30.0	-0.9729000329971313	0.001	64.0	64.0	512.0	0.4	0.9921773757100397	0.9775292196471408	128.0
31.0	-0.1064000055193901	0.0903698810326856	64.0	64.0	512.0	0.4	0.9234899279323305	0.9869866453218542	128.0
